placement,created,contestID,animalID,award
0,09/07/2020,1,51,Cute Award
0,09/07/2020,1,67,Cute Award
0,09/07/2020,1,28,Cute Award
0,09/07/2020,1,53,Cute Award
0,09/07/2020,1,27,Cute Award
0,09/07/2020,1,10,Cute Award
0,09/07/2020,1,13,Cute Award
0,09/07/2020,1,80,Cute Award
0,09/07/2020,1,68,Cute Award
0,09/07/2020,1,78,Cute Award
0,09/07/2020,1,37,Cute Award
0,09/07/2020,2,12,Cute Award
0,09/07/2020,2,46,Cute Award
0,09/07/2020,2,35,Cute Award
0,09/07/2020,2,8,Cute Award
0,09/07/2020,2,85,Cute Award
0,09/07/2020,2,86,Cute Award
0,09/07/2020,2,89,Cute Award
0,09/07/2020,2,2,Cute Award
0,09/07/2020,2,50,Cute Award
0,09/07/2020,2,15,Cute Award
0,09/07/2020,2,19,Cute Award
0,09/07/2020,3,23,Cute Award
0,09/07/2020,3,21,Cute Award
0,09/07/2020,3,8,Cute Award
0,09/07/2020,3,6,Cute Award
0,09/07/2020,3,49,Cute Award
0,09/07/2020,3,87,Cute Award
0,09/07/2020,3,5,Cute Award
0,09/07/2020,3,32,Cute Award
0,09/07/2020,3,44,Cute Award
0,09/07/2020,3,77,Cute Award
0,09/07/2020,3,61,Cute Award
0,09/07/2020,4,17,Cute Award
0,09/07/2020,4,55,Cute Award
0,09/07/2020,4,23,Cute Award
0,09/07/2020,4,1,Cute Award
0,09/07/2020,4,37,Cute Award
0,09/07/2020,4,76,Cute Award
0,09/07/2020,4,69,Cute Award
0,09/07/2020,4,43,Cute Award
0,09/07/2020,4,61,Cute Award
0,09/07/2020,4,38,Cute Award
0,09/07/2020,4,60,Cute Award
0,09/07/2020,5,59,Cute Award
0,09/07/2020,5,73,Cute Award
0,09/07/2020,5,23,Cute Award
0,09/07/2020,5,47,Cute Award
0,09/07/2020,5,64,Cute Award
0,09/07/2020,5,58,Cute Award
0,09/07/2020,5,69,Cute Award
0,09/07/2020,5,50,Cute Award
0,09/07/2020,5,71,Cute Award
0,09/07/2020,5,17,Cute Award
0,09/07/2020,5,12,Cute Award
0,09/07/2020,6,74,Cute Award
0,09/07/2020,6,19,Cute Award
0,09/07/2020,6,33,Cute Award
0,09/07/2020,6,89,Cute Award
0,09/07/2020,6,48,Cute Award
0,09/07/2020,6,27,Cute Award
0,09/07/2020,6,8,Cute Award
0,09/07/2020,6,21,Cute Award
0,09/07/2020,6,24,Cute Award
0,09/07/2020,6,22,Cute Award
0,09/07/2020,6,3,Cute Award
0,09/07/2020,7,88,Cute Award
0,09/07/2020,7,63,Cute Award
0,09/07/2020,7,25,Cute Award
0,09/07/2020,7,72,Cute Award
0,09/07/2020,7,2,Cute Award
0,09/07/2020,7,15,Cute Award
0,09/07/2020,7,68,Cute Award
0,09/07/2020,7,70,Cute Award
0,09/07/2020,7,78,Cute Award
0,09/07/2020,7,36,Cute Award
0,09/07/2020,7,85,Cute Award
0,09/07/2020,8,66,Cute Award
0,09/07/2020,8,67,Cute Award
0,09/07/2020,8,27,Cute Award
0,09/07/2020,8,78,Cute Award
0,09/07/2020,8,57,Cute Award
0,09/07/2020,8,46,Cute Award
0,09/07/2020,8,26,Cute Award
0,09/07/2020,8,51,Cute Award
0,09/07/2020,8,28,Cute Award
0,09/07/2020,8,31,Cute Award
0,09/07/2020,8,1,Cute Award
0,09/07/2020,9,81,Cute Award
0,09/07/2020,9,60,Cute Award
0,09/07/2020,9,55,Cute Award
0,09/07/2020,9,16,Cute Award
0,09/07/2020,9,80,Cute Award
0,09/07/2020,9,33,Cute Award
0,09/07/2020,9,86,Cute Award
0,09/07/2020,9,13,Cute Award
0,09/07/2020,9,73,Cute Award
0,09/07/2020,9,11,Cute Award
0,09/07/2020,9,68,Cute Award
0,09/07/2020,10,66,Cute Award
0,09/07/2020,10,43,Cute Award
0,09/07/2020,10,12,Cute Award
0,09/07/2020,10,16,Cute Award
0,09/07/2020,10,14,Cute Award
0,09/07/2020,10,70,Cute Award
0,09/07/2020,10,47,Cute Award
0,09/07/2020,10,86,Cute Award
0,09/07/2020,10,78,Cute Award
0,09/07/2020,10,11,Cute Award
0,09/07/2020,10,38,Cute Award
0,09/07/2020,11,49,Cute Award
0,09/07/2020,11,81,Cute Award
0,09/07/2020,11,59,Cute Award
0,09/07/2020,11,44,Cute Award
0,09/07/2020,11,54,Cute Award
0,09/07/2020,11,15,Cute Award
0,09/07/2020,11,52,Cute Award
0,09/07/2020,11,38,Cute Award
0,09/07/2020,11,25,Cute Award
0,09/07/2020,11,9,Cute Award
0,09/07/2020,11,77,Cute Award
0,09/07/2020,12,54,Cute Award
0,09/07/2020,12,36,Cute Award
0,09/07/2020,12,73,Cute Award
0,09/07/2020,12,9,Cute Award
0,09/07/2020,12,30,Cute Award
0,09/07/2020,12,77,Cute Award
0,09/07/2020,12,31,Cute Award
0,09/07/2020,12,55,Cute Award
0,09/07/2020,12,20,Cute Award
0,09/07/2020,12,62,Cute Award
0,09/07/2020,12,65,Cute Award
0,09/07/2020,13,46,Cute Award
0,09/07/2020,13,9,Cute Award
0,09/07/2020,13,87,Cute Award
0,09/07/2020,13,13,Cute Award
0,09/07/2020,13,41,Cute Award
0,09/07/2020,13,7,Cute Award
0,09/07/2020,13,39,Cute Award
0,09/07/2020,13,28,Cute Award
0,09/07/2020,13,72,Cute Award
0,09/07/2020,13,80,Cute Award
0,09/07/2020,13,23,Cute Award
0,09/07/2020,14,82,Cute Award
0,09/07/2020,14,59,Cute Award
0,09/07/2020,14,22,Cute Award
0,09/07/2020,14,31,Cute Award
0,09/07/2020,14,84,Cute Award
0,09/07/2020,14,10,Cute Award
0,09/07/2020,14,50,Cute Award
0,09/07/2020,14,69,Cute Award
0,09/07/2020,14,1,Cute Award
0,09/07/2020,14,14,Cute Award
0,09/07/2020,14,46,Cute Award
0,09/07/2020,15,5,Cute Award
0,09/07/2020,15,54,Cute Award
0,09/07/2020,15,89,Cute Award
0,09/07/2020,15,72,Cute Award
0,09/07/2020,15,46,Cute Award
0,09/07/2020,15,22,Cute Award
0,09/07/2020,15,83,Cute Award
0,09/07/2020,15,86,Cute Award
0,09/07/2020,15,68,Cute Award
0,09/07/2020,15,53,Cute Award
0,09/07/2020,15,69,Cute Award
0,09/07/2020,16,62,Cute Award
0,09/07/2020,16,1,Cute Award
0,09/07/2020,16,8,Cute Award
0,09/07/2020,16,17,Cute Award
0,09/07/2020,16,44,Cute Award
0,09/07/2020,16,21,Cute Award
0,09/07/2020,16,22,Cute Award
0,09/07/2020,16,63,Cute Award
0,09/07/2020,16,46,Cute Award
0,09/07/2020,16,43,Cute Award
0,09/07/2020,16,73,Cute Award
0,09/07/2020,17,61,Cute Award
0,09/07/2020,17,67,Cute Award
0,09/07/2020,17,14,Cute Award
0,09/07/2020,17,45,Cute Award
0,09/07/2020,17,56,Cute Award
0,09/07/2020,17,36,Cute Award
0,09/07/2020,17,48,Cute Award
0,09/07/2020,17,5,Cute Award
0,09/07/2020,17,7,Cute Award
0,09/07/2020,17,40,Cute Award
0,09/07/2020,17,29,Cute Award
0,09/07/2020,18,40,Cute Award
0,09/07/2020,18,50,Cute Award
0,09/07/2020,18,52,Cute Award
0,09/07/2020,18,85,Cute Award
0,09/07/2020,18,54,Cute Award
0,09/07/2020,18,63,Cute Award
0,09/07/2020,18,21,Cute Award
0,09/07/2020,18,44,Cute Award
0,09/07/2020,18,7,Cute Award
0,09/07/2020,18,56,Cute Award
0,09/07/2020,18,72,Cute Award
0,09/07/2020,19,1,Cute Award
0,09/07/2020,19,60,Cute Award
0,09/07/2020,19,8,Cute Award
0,09/07/2020,19,88,Cute Award
0,09/07/2020,19,21,Cute Award
0,09/07/2020,19,71,Cute Award
0,09/07/2020,19,52,Cute Award
0,09/07/2020,19,33,Cute Award
0,09/07/2020,19,37,Cute Award
0,09/07/2020,19,72,Cute Award
0,09/07/2020,19,16,Cute Award
0,09/07/2020,20,65,Cute Award
0,09/07/2020,20,86,Cute Award
0,09/07/2020,20,35,Cute Award
0,09/07/2020,20,34,Cute Award
0,09/07/2020,20,62,Cute Award
0,09/07/2020,20,49,Cute Award
0,09/07/2020,20,55,Cute Award
0,09/07/2020,20,47,Cute Award
0,09/07/2020,20,4,Cute Award
0,09/07/2020,20,75,Cute Award
0,09/07/2020,20,70,Cute Award
0,09/07/2020,21,4,Cute Award
0,09/07/2020,21,64,Cute Award
0,09/07/2020,21,24,Cute Award
0,09/07/2020,21,37,Cute Award
0,09/07/2020,21,40,Cute Award
0,09/07/2020,21,21,Cute Award
0,09/07/2020,21,48,Cute Award
0,09/07/2020,21,36,Cute Award
0,09/07/2020,21,16,Cute Award
0,09/07/2020,21,2,Cute Award
0,09/07/2020,21,72,Cute Award
0,09/07/2020,22,41,Cute Award
0,09/07/2020,22,7,Cute Award
0,09/07/2020,22,60,Cute Award
0,09/07/2020,22,14,Cute Award
0,09/07/2020,22,52,Cute Award
0,09/07/2020,22,4,Cute Award
0,09/07/2020,22,22,Cute Award
0,09/07/2020,22,44,Cute Award
0,09/07/2020,22,58,Cute Award
0,09/07/2020,22,26,Cute Award
0,09/07/2020,22,38,Cute Award
0,09/07/2020,23,51,Cute Award
0,09/07/2020,23,21,Cute Award
0,09/07/2020,23,19,Cute Award
0,09/07/2020,23,55,Cute Award
0,09/07/2020,23,70,Cute Award
0,09/07/2020,23,7,Cute Award
0,09/07/2020,23,50,Cute Award
0,09/07/2020,23,54,Cute Award
0,09/07/2020,23,89,Cute Award
0,09/07/2020,23,52,Cute Award
0,09/07/2020,23,24,Cute Award
0,09/07/2020,24,9,Cute Award
0,09/07/2020,24,1,Cute Award
0,09/07/2020,24,85,Cute Award
0,09/07/2020,24,39,Cute Award
0,09/07/2020,24,19,Cute Award
0,09/07/2020,24,27,Cute Award
0,09/07/2020,24,7,Cute Award
0,09/07/2020,24,74,Cute Award
0,09/07/2020,24,41,Cute Award
0,09/07/2020,24,66,Cute Award
0,09/07/2020,24,88,Cute Award
0,09/07/2020,25,15,Cute Award
0,09/07/2020,25,53,Cute Award
0,09/07/2020,25,17,Cute Award
0,09/07/2020,25,89,Cute Award
0,09/07/2020,25,10,Cute Award
0,09/07/2020,25,46,Cute Award
0,09/07/2020,25,48,Cute Award
0,09/07/2020,25,28,Cute Award
0,09/07/2020,25,25,Cute Award
0,09/07/2020,25,35,Cute Award
0,09/07/2020,25,54,Cute Award
